ID1,ID2,abs_r,arccos_dist,signed_r,group,cat1,cat2
32264,32287,0.7754187904946279,0.6834182784170612,0.7754187904946279,cross,Security & military,Federal budget
32245,32285,0.7365356285886426,0.7428621424606965,0.7365356285886426,cross,Energy & transport,Federal budget
32268,32272,0.6546283329468073,0.8571054660710772,0.6546283329468073,within-mini,Security & military,Foreign trade & foreign policy
32219,32281,0.6047148969166442,0.921388478959354,0.6047148969166442,cross,Welfare state & family,Federal budget
32228,32231,0.6015069591483531,0.9254101854448004,0.6015069591483531,within-mini,Immigration & integration,Immigration & integration
32276,32281,0.5911157519214267,0.938354885437396,0.5911157519214267,within-full-only,Values,Federal budget
32215,32281,0.5883191104768417,0.9418177527610601,0.5883191104768417,cross,Welfare state & family,Federal budget
32265,32266,0.5404606130766285,0.9998118571227981,0.5404606130766285,within-full-only,Security & military,Security & military
32271,32280,0.5381516549966728,1.002553732028066,0.5381516549966728,within-full-only,Foreign trade & foreign policy,Values
32238,32276,0.5373608393990482,1.003491717229645,0.5373608393990482,cross,Finances & taxes,Values
32219,32276,0.531475633739598,1.0104546742957647,0.531475633739598,cross,Welfare state & family,Values
32281,32288,0.5263382857160521,1.0165080349594728,0.5263382857160521,within-full-only,Federal budget,Federal budget
32266,32273,0.5248628269936205,1.0182423766990443,-0.5248628269936205,cross,Security & military,Foreign trade & foreign policy
32215,32219,0.5230902377421919,1.020323534241735,0.5230902377421919,within-mini,Welfare state & family,Welfare state & family
32240,32281,0.523065002934338,1.0203531426549226,0.523065002934338,cross,Economy & labour,Federal budget
32280,32285,0.5230520968355122,1.0203682853840206,-0.5230520968355122,within-full-only,Values,Federal budget
32246,32280,0.520657618508848,1.0231753003082336,0.520657618508848,cross,Energy & transport,Values
32228,32234,0.518528683063254,1.025666992956426,0.518528683063254,within-mini,Immigration & integration,Society & ethics
32244,32271,0.5154741621402384,1.029235426943536,0.5154741621402384,cross,Economy & labour,Foreign trade & foreign policy
32246,32285,0.5143673699451273,1.0305265417148535,-0.5143673699451273,cross,Energy & transport,Federal budget
32275,32281,0.5124398835272699,1.0327726448639305,-0.5124398835272699,within-full-only,Values,Federal budget
32228,32262,0.5092954101252463,1.0364304622391436,0.5092954101252463,cross,Immigration & integration,"Democracy, Media & Digitalization"
32219,32240,0.5068782485376093,1.0392368558078862,0.5068782485376093,within-mini,Welfare state & family,Economy & labour
32244,32281,0.5059991510867609,1.0402563641345985,0.5059991510867609,cross,Economy & labour,Federal budget
32255,32280,0.5049863102121457,1.0414302222281346,0.5049863102121457,within-full-only,Nature conservation,Values
32246,32247,0.5048094688272365,1.041635094415133,-0.5048094688272365,cross,Energy & transport,Energy & transport
32268,32269,0.5033790835340001,1.043291306872017,-0.5033790835340001,cross,Security & military,Foreign trade & foreign policy
32276,32280,0.5028861409091305,1.043861704210307,0.5028861409091305,within-full-only,Values,Values
32227,32281,0.5027990972468027,1.0439624051350673,0.5027990972468027,cross,Education,Federal budget
32269,32272,0.5021468385600643,1.0447168164922904,-0.5021468385600643,cross,Foreign trade & foreign policy,Foreign trade & foreign policy
