dataset,condition,metric_a,metric_b,spearman_rho,p_value,n_observations
E5-INSTRUCT,crw,jaccard,spearman,0.939313093700472,0.0,7875
E5-INSTRUCT,crw,jaccard,kendall,0.971555866386318,0.0,7875
E5-INSTRUCT,crw,spearman,kendall,0.9887259269373826,0.0,7875
E5-INSTRUCT,baseline,jaccard,spearman,0.9360170697012802,0.0,7875
E5-INSTRUCT,baseline,jaccard,kendall,0.9652631578947367,0.0,7875
E5-INSTRUCT,baseline,spearman,kendall,0.9883641536273113,0.0,7875
E5-INSTRUCT,crw_easy_paraphrase,jaccard,spearman,0.9458023246734681,0.0,1575
E5-INSTRUCT,crw_easy_paraphrase,jaccard,kendall,0.9750193022094858,0.0,1575
E5-INSTRUCT,crw_easy_paraphrase,spearman,kendall,0.989863244792559,0.0,1575
E5-INSTRUCT,crw_hard_paraphrase,jaccard,spearman,0.9344653983225893,0.0,1575
E5-INSTRUCT,crw_hard_paraphrase,jaccard,kendall,0.9676684206008492,0.0,1575
E5-INSTRUCT,crw_hard_paraphrase,spearman,kendall,0.9882307512103696,0.0,1575
E5-INSTRUCT,crw_negation_easy,jaccard,spearman,0.9406409623289389,0.0,1575
E5-INSTRUCT,crw_negation_easy,jaccard,kendall,0.9731670706487425,0.0,1575
E5-INSTRUCT,crw_negation_easy,spearman,kendall,0.9883018894703868,0.0,1575
E5-INSTRUCT,crw_negation_hard,jaccard,spearman,0.9334922447231515,0.0,1575
E5-INSTRUCT,crw_negation_hard,jaccard,kendall,0.9688938387277807,0.0,1575
E5-INSTRUCT,crw_negation_hard,spearman,kendall,0.9869030727494607,0.0,1575
E5-INSTRUCT,crw_perfect_mix,jaccard,spearman,0.9357154994313304,0.0,1575
E5-INSTRUCT,crw_perfect_mix,jaccard,kendall,0.969203695290334,0.0,1575
E5-INSTRUCT,crw_perfect_mix,spearman,kendall,0.9884503218694103,0.0,1575
ANSWER-CORR-ARCCOS,crw,jaccard,spearman,0.9895388705234915,0.0,1533
ANSWER-CORR-ARCCOS,crw,jaccard,kendall,0.9852387775038824,0.0,1533
ANSWER-CORR-ARCCOS,crw,spearman,kendall,0.9803296096206876,0.0,1533
ANSWER-CORR-ARCCOS,baseline,jaccard,spearman,0.9346538319141059,0.0,1533
ANSWER-CORR-ARCCOS,baseline,jaccard,kendall,0.9647352832284339,0.0,1533
ANSWER-CORR-ARCCOS,baseline,spearman,kendall,0.9881216833271629,0.0,1533
