topic_a,topic_b,n_pairs,mean,median,std,min,max
Federal budget,Immigration & integration,32,1.260525995046038,1.2670358536131052,0.1391036841771605,1.0528786278875963,1.563291121569771
Foreign trade & foreign policy,Immigration & integration,20,1.2770260270161384,1.2260233591151515,0.11557175460488926,1.1112588501383196,1.495312623238354
Immigration & integration,Values,28,1.2850301878707946,1.2646470211464635,0.1403879803045928,1.0727460332175258,1.5668531817695222
Education,Immigration & integration,12,1.2908505059576234,1.2720610960021608,0.094979880619278,1.1551481582150225,1.4734723345722613
Immigration & integration,Society & ethics,16,1.2986507866356711,1.3009507992398306,0.13641080121528135,1.0256669929564257,1.5323931997761944
Federal budget,Values,56,1.316406606079007,1.33338202717855,0.16065379063536114,0.938354885437395,1.5705124017570653
Foreign trade & foreign policy,Values,35,1.3178232856205658,1.3136558077714413,0.12995907622274006,1.0025537320280673,1.5651311256986695
Federal budget,Foreign trade & foreign policy,40,1.3248596527276306,1.3313952707233834,0.10258265534392269,1.0477944155833696,1.5412807916825495
Foreign trade & foreign policy,Security & military,25,1.3276337687639366,1.3600881406608525,0.18923486408630605,0.8571054660710726,1.5638408501921963
Economy & labour,Nature conservation,30,1.3305293495639627,1.3100609001583963,0.11158649022285612,1.1616128104057488,1.5106015946224634
Economy & labour,Welfare state & family,30,1.3340935147901058,1.3651386572637367,0.14544118355081034,1.0392368558078875,1.556852744532805
Energy & transport,Foreign trade & foreign policy,35,1.3346437332930432,1.339233120028622,0.10384779421196126,1.134768791102739,1.5466289094481769
Energy & transport,Immigration & integration,28,1.336126414637042,1.333277487400528,0.11109802686106589,1.1743579158749053,1.5550142657624992
Energy & transport,Nature conservation,42,1.3368533238808846,1.2997953741993853,0.1075347534823984,1.1582155270604895,1.5690743399066096
Economy & labour,Values,35,1.3386385740242572,1.3863583887289443,0.13746838697624322,1.0902799334681126,1.5360196587491628
Energy & transport,Values,49,1.3389580175033349,1.3497364627283952,0.1506125041435989,1.0231753003082202,1.560241484411913
Energy & transport,Federal budget,56,1.3405921328419812,1.3496600982146458,0.15709654509525767,0.7428621424607029,1.568855128880312
Federal budget,Nature conservation,48,1.3414207496302037,1.337197175085807,0.09395094111835729,1.16979296704269,1.5390827120275319
Foreign trade & foreign policy,Nature conservation,30,1.3458798552047377,1.379547193391827,0.10684053170887542,1.090416678102037,1.4862576948371065
Nature conservation,Values,42,1.3468640893808888,1.3475090957010298,0.1325256362795753,1.041430222228137,1.5638243560972067
Federal budget,Welfare state & family,48,1.350807366791645,1.3684052810753726,0.16042954958886918,0.9213884789593505,1.5637927751577176
Education,Federal budget,24,1.3510682362552586,1.3611841151618655,0.12407776877332857,1.0439624051350627,1.5356087350091245
Economy & labour,Federal budget,40,1.351369729088286,1.3635465497895034,0.1255283593975321,1.020353142654923,1.5312078205845308
Immigration & integration,Nature conservation,24,1.3531965947745157,1.341248561080305,0.05947810513891527,1.2673656611511475,1.4723144074065573
Society & ethics,Values,28,1.354138077277917,1.3845812799310906,0.12838084485430193,1.1063648862856326,1.5402789027135322
"Democracy, Media & Digitalization",Foreign trade & foreign policy,30,1.3543463801341495,1.3367439949272026,0.10099099732063292,1.169105875316986,1.5528406750869417
Economy & labour,Energy & transport,35,1.3560252154111767,1.3362579582750016,0.09822514639145914,1.1550849856679175,1.5635433906093799
Economy & labour,Foreign trade & foreign policy,25,1.3607862366251782,1.373628672284025,0.13315209608576128,1.0292354269435342,1.5566913710089094
Federal budget,Society & ethics,32,1.3622023675576975,1.3731562120899086,0.11986887285576395,1.0687141854611213,1.5595356247201622
Economy & labour,Immigration & integration,20,1.3640226145796812,1.382064839150177,0.122754394152177,1.1789347205529954,1.5387278922578862
Finances & taxes,Values,28,1.3642644027069866,1.3804860693963477,0.14154930541742455,1.003491717229642,1.5285541615853966
Immigration & integration,Welfare state & family,24,1.3644044131213953,1.3993152344564268,0.15852247499618388,1.1447756249202206,1.5673673838443183
Education,Welfare state & family,18,1.3678589846681728,1.3828708121910394,0.13515352815441198,1.0791801128297893,1.5657604836965604
Education,Values,21,1.3716188282481743,1.387606085039569,0.12036053603407619,1.122982192130092,1.5670676869166063
Finances & taxes,Immigration & integration,16,1.371964259992406,1.3816778898599935,0.09034139741821699,1.212947394628597,1.5055603441111578
Values,Welfare state & family,42,1.3723043016956122,1.4071575827983005,0.1605815666835883,1.0104546742957656,1.5674819993360418
Nature conservation,Welfare state & family,36,1.374328503128244,1.371398122297041,0.11423407077908915,1.1578521209155739,1.5585960991768497
Immigration & integration,Security & military,20,1.37434082117155,1.421545737718168,0.1439212720284142,1.1565471929735411,1.5452739809910527
Foreign trade & foreign policy,Society & ethics,20,1.3750676153325452,1.4052375680757563,0.11974923486212484,1.183235941595192,1.5677091249092985
Finances & taxes,Foreign trade & foreign policy,20,1.3754993818364805,1.3842204792138815,0.09283190299756171,1.1623729765218962,1.5320288428229643
Federal budget,Finances & taxes,32,1.379581735301023,1.3847643753945125,0.11346410182560011,1.1247292197107288,1.5355562283659612
Education,Foreign trade & foreign policy,15,1.3796823002172152,1.4122845146074225,0.09116587353439484,1.1608690389787157,1.4866126161604196
Economy & labour,Finances & taxes,20,1.3810102786143703,1.4023865705413465,0.11323154375956564,1.1716704656424668,1.5587637072706462
Economy & labour,Education,15,1.381788688288322,1.4190740776329762,0.1165561111997334,1.1307027317903553,1.490910282979525
"Democracy, Media & Digitalization",Immigration & integration,24,1.3829707019755453,1.4026711694602692,0.14669866758456857,1.0364304622391438,1.566250414962306
Federal budget,Security & military,40,1.3839095296278054,1.402764818221402,0.1629055594358981,0.6834182784170582,1.5694289126745569
Nature conservation,Society & ethics,24,1.3844557577174834,1.3911167698819296,0.08026787280348206,1.2400424731305342,1.5062842153973084
Education,Nature conservation,18,1.385867263718079,1.3954632603949342,0.08990777950857488,1.2249487120129525,1.5021063066463776
Energy & transport,Finances & taxes,28,1.3888185878517096,1.3832406421354588,0.11406886227670665,1.2126947212031431,1.5579660385922747
"Democracy, Media & Digitalization",Values,42,1.3934664280439606,1.4030468067115052,0.1304837407338529,1.1649194338426658,1.569402421717147
Education,Society & ethics,12,1.3938303360240285,1.391448146257754,0.11838137500776985,1.1829610246558495,1.536621421061809
Foreign trade & foreign policy,Welfare state & family,30,1.3950104901318643,1.3730552290132598,0.13807322399720692,1.0610288586797916,1.5706928921143701
Finances & taxes,Nature conservation,24,1.3970203232080287,1.4017310968642591,0.07685820405473741,1.2542858666545198,1.5174865148343586
Security & military,Values,35,1.3995246832452928,1.4175067463663935,0.12273102045083796,1.1470524851554322,1.5690442076006126
"Democracy, Media & Digitalization",Energy & transport,42,1.3997049309437568,1.4027122109850183,0.10944262193077653,1.1798720479538687,1.5688658093389323
Foreign trade & foreign policy,Health,25,1.4006324365565572,1.3966978416505087,0.09147226624713008,1.20664175232171,1.5596316821196132
Energy & transport,Society & ethics,28,1.4011925729785835,1.4411263656564839,0.11546697822950085,1.1090137117267045,1.5524648095306277
Education,Energy & transport,21,1.407697031842916,1.381386341720176,0.09226951728040564,1.2576983971519977,1.5605467770010928
"Democracy, Media & Digitalization",Federal budget,48,1.4090440955493373,1.4330696426862786,0.1193291766994825,1.1480441426623589,1.5677011229963629
Energy & transport,Welfare state & family,42,1.4092775434634557,1.4018082991634486,0.1243542608911813,1.2035899752922217,1.5703214028699048
"Democracy, Media & Digitalization",Security & military,30,1.413994469207882,1.4053262567057172,0.07579439743082722,1.2555885708471017,1.5155132638861937
"Democracy, Media & Digitalization",Health,30,1.4142206788505374,1.4186786325735454,0.08407139845708862,1.2457567967665009,1.5505904643646498
Finances & taxes,Welfare state & family,24,1.415333716264156,1.426987023094636,0.12504024803421848,1.119552255845455,1.5590918101712232
Finances & taxes,Society & ethics,16,1.4169574221145629,1.4345353725935315,0.0818458873290496,1.2098125333477219,1.5343417244637136
"Democracy, Media & Digitalization",Nature conservation,36,1.4174604977543357,1.4142133093612692,0.09948171902181228,1.2170930414375492,1.5702110839860028
Energy & transport,Health,35,1.418314735184534,1.4249563461102566,0.0834571043145943,1.223590786722926,1.5457575990037584
"Democracy, Media & Digitalization",Economy & labour,30,1.4196005635914164,1.4333435764720384,0.10177601520963071,1.2225732529061666,1.562866800816235
"Democracy, Media & Digitalization",Finances & taxes,24,1.41966864868673,1.4397530247604977,0.11070628455815133,1.1324936234689884,1.5622404971659878
Federal budget,Health,40,1.4206213021206913,1.4257270179769481,0.07501590921823738,1.1772423694454,1.555668203011394
"Democracy, Media & Digitalization",Society & ethics,24,1.4207574839776094,1.4316989165670906,0.11021132776156485,1.074361396787261,1.5560726224112302
Health,Nature conservation,30,1.4214809804276798,1.4382619351322692,0.07777852928051614,1.2320416589283987,1.5215324932212426
Health,Immigration & integration,20,1.4215142515721477,1.4293798237908144,0.052340659519367755,1.3305936890976553,1.5284363212236272
Health,Values,35,1.4217521699344862,1.43294344316274,0.08571161098518293,1.2294315197588497,1.5697155277074561
Security & military,Society & ethics,20,1.4218851866510755,1.452529609988651,0.1066301164489016,1.2058790738557923,1.5463212715070183
Economy & labour,Society & ethics,20,1.4236068819653915,1.4551117417460506,0.11948764463955264,1.1237533619195148,1.54301678631115
Energy & transport,Security & military,35,1.431215672092557,1.4459909770237924,0.09911844964036991,1.243041735017418,1.5668403599615424
Education,Finances & taxes,12,1.4317937854939873,1.4576345946863762,0.09334191763780508,1.2535772653242887,1.5581379323207887
Economy & labour,Health,25,1.435868533175285,1.446918513215194,0.07664806086445726,1.294077216386761,1.5550784054082738
Health,Security & military,25,1.4377321836961117,1.434707953180307,0.06676061821285696,1.2958073077689982,1.5575888338468848
Society & ethics,Welfare state & family,24,1.438938158718183,1.4929242055516547,0.13650097104794887,1.1426906179411438,1.5703860514683565
Finances & taxes,Health,20,1.4448312753689425,1.4681196769847502,0.07176476456582985,1.2882880354137143,1.5576951782482522
Health,Society & ethics,20,1.4474643544289527,1.45099871458614,0.05704341853514427,1.3336390734012074,1.5488550670313408
Health,Welfare state & family,30,1.4492632040913809,1.4720897784179725,0.11286704168623814,1.2079044125146896,1.5679084028812016
"Democracy, Media & Digitalization",Education,18,1.4509108200905165,1.4722267051144278,0.10392017400150637,1.2402128598637292,1.5666278215311629
Security & military,Welfare state & family,30,1.4536146878419334,1.4492625808638713,0.10503352305443696,1.224344914272652,1.5705816962019663
Education,Security & military,15,1.454368733552989,1.46980538463783,0.10000495606206092,1.2902382691135559,1.5680014557705146
Nature conservation,Security & military,30,1.455138822192069,1.451439368425794,0.07853494993749847,1.3255280033664347,1.5624801341532029
"Democracy, Media & Digitalization",Welfare state & family,36,1.4555973986835933,1.4859013977448967,0.10828134229452119,1.2016845175684938,1.568579500322649
Finances & taxes,Security & military,20,1.4575227568788591,1.4745402390404867,0.07429722038067726,1.288283938616309,1.5646145403493321
Education,Health,15,1.459914211694337,1.4590599067091672,0.07731465209671991,1.3350371718960814,1.5675132108013234
Economy & labour,Security & military,25,1.4635584038131921,1.4703270680853442,0.0826212585158802,1.2584418621618758,1.5642008812821075
